Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,UUID,Engagement Level,User Segment,User Value,Preferred Content Type,Primary Discovery Method,Categorized Mood,Satisfied with Podcast Variety
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Once a week,Comedy,Story telling,Well known individuals,Shorter,Satisfied,47f5bb48-8914-486a-a011-1896435bd097,Moderately Engaged,New User,Standard,Music,Recommendations,Relaxation/Stress Relief,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",1,Rarely,Comedy,Interview,Both,Shorter,Very Satisfied,6aab814a-9f8d-49af-89c2-413507fc62f8,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Varied,Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Rock,Night,"Relaxation and stress relief, Sadness or melancholy",Study Hours,"recommendations, Radio",3,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok,17e67d35-0f51-474e-8766-ca78d4b67b70,Low Engagement,Loyal User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Sadness/Melancholy",Not Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,7ba26e4e-5d25-45bc-b79a-0533ca664889,Moderately Engaged,Emerging User,Standard,Music,Others,Relaxation/Stress Relief,Not Satisfied
12-20,Male,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied,82e532d0-c3ea-4485-95a3-1f0da7f5a786,Low Engagement,Emerging User,Standard,Podcast,Recommendations,Relaxation/Stress Relief,Satisfied
35-60,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Old songs,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,Unknown,Unknown,Unknown,Unknown,Very Dissatisfied,7fc2705b-11e5-43b8-afec-5d7c081e5843,Moderately Engaged,New User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling",recommendations,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,51704abb-352e-4367-b33b-027b862d3ef9,Low Engagement,New User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3,Daily,Comedy,Conversational,Both,Longer,Satisfied,2192d8d8-5949-4085-9daa-22c0c5ab529f,Low Engagement,Emerging User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Uplifting/Motivational",Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied,17b104f2-674d-4f38-8a25-1930f155078d,Moderately Engaged,Emerging User,Standard,Music,Playlists,Relaxation/Stress Relief,Satisfied
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,Office hours,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied,878e911e-bda3-4d86-a2da-413ffafef64b,Low Engagement,Emerging User,Standard,Podcast,Playlists,Relaxation/Stress Relief,Satisfied
12-20,Male,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Uplifting and motivational,Workout session,"recommendations, Playlists",3,Never,Unknown,Unknown,Unknown,Unknown,Ok,0fb2b69d-ab6f-4952-bbb7-50f13b1f0e08,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Uplifting/Motivational,Not Satisfied
12-20,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Comedy,Conversational,Both,Both,Ok,1a45eb83-5482-46de-90b8-decc36dbd5fd,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok,113f8f81-e9de-430f-ad9b-37748517f504,Moderately Engaged,New User,Standard,Music,Playlists,Varied,Not Satisfied
12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Rap,Night,Uplifting and motivational,Workout session,Others,1,Never,Unknown,Unknown,Unknown,Unknown,Ok,c5eadfeb-38cb-484a-af0f-f3059c8d7c1d,Moderately Engaged,Emerging User,Standard,Music,Others,Uplifting/Motivational,Not Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Pop,Morning,Uplifting and motivational,"Office hours, While Traveling, leisure time","recommendations, Playlists, Radio",3,Several times a week,Business,Story telling,Both,Shorter,Ok,eba08472-cb57-4a80-a07e-4ed77e252352,Low Engagement,Loyal User,Standard,Podcast,Recommendations,Uplifting/Motivational,Not Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied,3295f7d3-7e8f-486f-b235-b5b4703edc31,Moderately Engaged,Loyal User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Social/Party",Satisfied
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,ac42d3d0-750c-4c9c-b00a-ca2e316df599,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Relaxation/Stress Relief,Satisfied
12-20,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",Playlists,3,Rarely,Unknown,Interview,Both,Shorter,Ok,4622fda6-9c4f-451c-84a1-290c39258f97,Low Engagement,Loyal User,Standard,Music,Playlists,"Relaxation/Stress Relief, Uplifting/Motivational",Not Satisfied
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4,Rarely,Comedy,Unknown,Both,Shorter,Ok,6ae3801c-bfa6-4074-8af3-6834742aa691,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Rarely,Unknown,Conversational,Both,Both,Ok,d67488d1-0375-45eb-a197-a05dccf1a4a0,Moderately Engaged,Emerging User,Standard,Music,Playlists,Relaxation/Stress Relief,Not Satisfied
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Both,Longer,Very Satisfied,d049ee0d-e609-41e8-916f-ca60f1f11f6c,Low Engagement,Loyal User,Standard,Music,Recommendations,Uplifting/Motivational,Satisfied
12-20,Male,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others",5,Daily,Health and Fitness,Interview,Well known individuals,Longer,Very Satisfied,bc2d963d-5368-4a56-b13e-87eb28c30e08,Moderately Engaged,Emerging User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Social/Party, Uplifting/Motivational",Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, ","recommendations, Playlists",5,Once a week,Comedy,Story telling,Unknown,Both,Satisfied,9e777739-cc6a-4205-8fac-736671b260e4,Low Engagement,New User,Standard,Podcast,Recommendations,"Relaxation/Stress Relief, Sadness/Melancholy",Satisfied
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,5,Never,Unknown,Unknown,Unknown,Unknown,Ok,fdd25430-94f2-4c23-bdb7-4ce5ef6ba42f,Moderately Engaged,Emerging User,Standard,Music,Playlists,Relaxation/Stress Relief,Not Satisfied
12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Podcast,classical,Afternoon,Sadness or melancholy,"While Traveling, Workout session",Others,3,Once a week,Lifestyle and Health,Conversational,Both,Both,Ok,5d1f93c1-75a0-4c36-8b66-978b519799ea,Moderately Engaged,Emerging User,Standard,Music,Others,Sadness/Melancholy,Not Satisfied
35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Melody,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Food and cooking,Interview,Both,Shorter,Satisfied,dfe1f267-2449-4967-b5e0-cb01527acb30,Moderately Engaged,Emerging User,Standard,Music,Recommendations,Sadness/Melancholy,Satisfied
20-35,Female,Less than 6 months,"Smartphone, Wearable devices",Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",3,Once a week,Comedy,Unknown,Well known individuals,Shorter,Ok,5faf08dd-8587-40e3-a1d9-27b6ae6ace08,Moderately Engaged,New User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied,54c1fce0-0646-4d8b-8e59-de9276fcb39f,Moderately Engaged,Emerging User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Uplifting/Motivational, Sadness/Melancholy",Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",3,Daily,Health and Fitness,Educational,Both,Shorter,Dissatisfied,12119b3c-725a-4aba-8ac3-d01601e1188d,Moderately Engaged,Loyal User,Standard,Music,Playlists,Relaxation/Stress Relief,Not Satisfied
12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,leisure time,Others,4,Once a week,Comedy,Story telling,Both,Shorter,Ok,623f8b63-6742-4b23-8492-1736fe736d48,Moderately Engaged,Emerging User,Standard,Music,Others,Relaxation/Stress Relief,Not Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,"Relaxation and stress relief, Sadness or melancholy",Office hours,Others,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,b86665c5-82bd-450b-a15b-005c2f4ef634,Low Engagement,New User,Standard,Music,Others,"Relaxation/Stress Relief, Sadness/Melancholy",Not Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Very Satisfied,2bba143a-79e9-44b7-92d4-918d21da9b38,Moderately Engaged,Emerging User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Uplifting/Motivational",Satisfied
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Radio",3,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied,3517a02e-967d-4a52-ad05-80ae925b100d,Low Engagement,Loyal User,Standard,Podcast,Recommendations,"Relaxation/Stress Relief, Social/Party",Satisfied
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,All,Morning,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time",Playlists,5,Never,Unknown,Unknown,Unknown,Unknown,Ok,f5aceb87-8254-44b0-8f97-9a6f05838515,Moderately Engaged,Loyal User,Standard,Music,Playlists,"Relaxation/Stress Relief, Uplifting/Motivational",Not Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,classical,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Playlists,3,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok,c1bd6e1b-a184-4a1f-98fe-fe8ed9321b3e,Moderately Engaged,New User,Standard,Music,Playlists,Relaxation/Stress Relief,Not Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Once a week,Comedy,Story telling,Unknown,Unknown,Satisfied,b0fe5115-fba1-43e7-b865-12708e2f0a3f,Moderately Engaged,Emerging User,Standard,Music,Playlists,Relaxation/Stress Relief,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Pop,Morning,Relaxation and stress relief,"While Traveling, Workout session","recommendations, Playlists",4,Daily,Comedy,Story telling,Both,Shorter,Satisfied,d4ce7e2d-41a1-4249-b79f-4067a737d6a2,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Relaxation/Stress Relief,Satisfied
20-35,Male,More than 2 years,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Never,Unknown,Unknown,Unknown,Unknown,Satisfied,2a27220a-a871-4564-b8da-b554b9d1659c,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Varied,Satisfied
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4,Rarely,Sports,Conversational,Well known individuals,Both,Satisfied,f98a146e-f61e-43d3-9c18-b0a653545b85,Moderately Engaged,Loyal User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Uplifting/Motivational, Sadness/Melancholy",Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Uplifting and motivational,leisure time,Others,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,2dfe3095-fbc9-4f8b-a931-516455f4deb5,Moderately Engaged,New User,Standard,Music,Others,Uplifting/Motivational,Not Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Sports,Story telling,Both,Shorter,Ok,babd48be-b7a4-4961-a13a-033682e8e4b4,Moderately Engaged,New User,Standard,Music,Others,"Relaxation/Stress Relief, Social/Party, Uplifting/Motivational",Not Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Rarely,Lifestyle and Health,Interview,Both,Shorter,Satisfied,3995d64b-6fe5-4cd4-9ad9-d2ba3b93edae,Moderately Engaged,New User,Standard,Music,Playlists,Relaxation/Stress Relief,Satisfied
12-20,Male,Less than 6 months,Computer or laptop,Free (ad-supported),No,,Music,Rap,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,44886733-cdd7-421e-b6ab-4840837a4a38,Moderately Engaged,New User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Others",3,Never,Unknown,Unknown,Unknown,Unknown,Ok,06837d72-ba05-4fd6-aecb-211939590bd2,Moderately Engaged,Emerging User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Sadness/Melancholy",Not Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Several times a week,Comedy,Conversational,Both,Both,Very Satisfied,d9033f97-2294-43d8-9d3f-0cc22857b397,Moderately Engaged,Loyal User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Social/Party, Uplifting/Motivational",Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,"recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,048eaead-142e-43e4-916f-fb2972d10bb1,Low Engagement,Loyal User,Standard,Podcast,Recommendations,"Relaxation/Stress Relief, Uplifting/Motivational",Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Never,Food and cooking,Story telling,Both,Shorter,Ok,e7cdb0d1-2a53-4670-9e57-3d3b530f4257,Moderately Engaged,New User,Standard,Music,Playlists,Varied,Not Satisfied
